video,ped,anchor,label,detected,cov,miou,switch,purity,frag,gt_prob,yolo_prob
video_0012,3_12_766,11441,0,1,1.0,0.752,1,0.188,0,0.0036,0.0037
video_0012,3_12_767,11411,0,0,0.062,0.549,0,1.0,0,0.01,
video_0012,3_12_767,11419,0,0,0.188,0.733,0,0.667,2,0.0128,
video_0012,3_12_767,11427,0,1,0.562,0.828,0,0.222,6,0.0074,0.0066
video_0012,3_12_767,11435,0,1,0.938,0.769,0,0.2,1,0.0047,0.0045
video_0012,3_12_768,11400,0,1,1.0,0.471,1,0.25,0,0.0079,0.0076
video_0012,3_12_768,11408,0,1,1.0,0.545,1,0.25,0,0.0056,0.0055
video_0012,3_12_768,11416,0,1,1.0,0.575,1,0.312,0,0.0064,0.0064
video_0012,3_12_768,11424,0,1,1.0,0.528,1,0.25,0,0.0049,0.0052
video_0012,3_12_770,11407,0,1,0.688,0.569,1,0.455,2,0.8649,0.9333
video_0012,3_12_770,11415,0,0,0.438,0.524,0,0.429,5,0.9108,
video_0012,3_12_770,11423,0,0,0.188,0.438,0,0.333,1,0.9846,
video_0012,3_12_770,11431,0,0,0.0,0.0,0,0.0,16,0.8817,
video_0012,3_12_777,15785,0,0,0.312,0.797,0,0.4,2,0.0361,
video_0012,3_12_777,15793,0,1,0.5,0.807,0,0.25,7,0.0143,0.0111
video_0012,3_12_777,15801,0,1,0.625,0.865,0,0.3,3,0.0122,0.0103
video_0012,3_12_777,15809,0,1,0.938,0.84,0,0.2,0,0.0125,0.0153
video_0012,3_12_785,15859,0,0,0.0,0.0,0,0.0,16,0.9915,
video_0012,3_12_785,15867,0,0,0.0,0.0,0,0.0,16,0.782,
video_0012,3_12_785,15875,0,0,0.0,0.0,0,0.0,16,0.6359,
video_0012,3_12_785,15883,0,0,0.0,0.0,0,0.0,16,0.1949,
video_0012,3_12_788,16375,0,1,0.812,0.556,0,0.231,2,0.0266,0.0451
video_0012,3_12_788,16383,0,1,0.812,0.575,0,0.231,3,0.0184,0.0273
video_0012,3_12_788,16391,0,1,0.875,0.569,0,0.214,1,0.0156,0.0194
video_0012,3_12_788,16399,0,0,0.438,0.551,0,0.286,0,0.0143,
video_0012,3_12_795,16474,0,1,0.75,0.842,1,0.417,0,0.117,0.0786
video_0012,3_12_795,16482,0,1,1.0,0.881,1,0.375,0,0.0401,0.0446
video_0012,3_12_795,16490,0,1,0.938,0.881,1,0.4,1,0.0149,0.0249
video_0012,3_12_795,16498,0,1,0.562,0.808,0,0.444,1,0.0292,0.9932
video_0012,3_12_796,16476,0,1,0.562,0.787,0,0.556,5,0.1091,0.1925
video_0012,3_12_796,16484,0,1,0.688,0.772,0,0.364,4,0.0362,0.1073
video_0012,3_12_796,16492,0,1,0.562,0.7,0,0.222,5,0.0164,0.6206
video_0012,3_12_796,16500,0,0,0.25,0.718,0,0.25,2,0.0312,
video_0012,3_12_799,17072,0,1,0.688,0.571,0,0.273,1,0.017,0.0215
video_0012,3_12_799,17080,0,0,0.312,0.578,0,0.4,4,0.0155,
video_0012,3_12_799,17088,0,0,0.062,0.873,0,1.0,0,0.0121,
video_0012,3_12_799,17096,0,1,0.5,0.874,0,0.25,0,0.008,0.0086
video_0012,3_12_800,17080,0,1,0.5,0.793,0,0.25,8,0.0098,0.011
video_0012,3_12_800,17088,0,1,0.562,0.815,0,0.333,6,0.0094,0.0109
video_0012,3_12_800,17096,0,1,0.688,0.827,0,0.273,5,0.0078,0.0093
video_0012,3_12_800,17104,0,1,0.938,0.807,0,0.333,1,0.0046,0.005
video_0012,3_12_801,17084,0,1,0.5,0.689,0,0.375,6,0.0129,0.0109
video_0012,3_12_801,17092,0,1,0.688,0.651,0,0.364,5,0.011,0.0101
video_0012,3_12_801,17100,0,1,0.812,0.664,1,0.231,1,0.009,0.0099
video_0012,3_12_801,17108,0,1,1.0,0.699,1,0.25,0,0.0053,0.0054
video_0012,3_12_736,2968,0,0,0.0,0.0,0,0.0,16,0.0052,
video_0012,3_12_736,2976,0,0,0.0,0.0,0,0.0,16,0.0044,
video_0012,3_12_736,2984,0,0,0.312,0.759,0,0.4,1,0.0037,
video_0012,3_12_736,2992,0,0,0.375,0.756,0,0.333,2,0.0035,
video_0012,3_12_737,3798,0,0,0.125,0.625,0,0.5,0,0.0297,
video_0012,3_12_737,3806,0,0,0.0,0.0,0,0.0,16,0.019,
video_0012,3_12_737,3814,0,0,0.062,0.776,0,1.0,0,0.0127,
video_0012,3_12_737,3822,0,1,0.5,0.806,0,0.75,3,0.0075,0.0087
video_0012,3_12_740,5356,1,0,0.0,0.0,0,0.0,16,0.1533,
video_0012,3_12_740,5364,1,0,0.125,0.747,0,0.5,1,0.4213,
video_0012,3_12_740,5372,1,1,0.625,0.868,1,0.6,1,0.3269,0.1175
video_0012,3_12_740,5380,1,1,1.0,0.864,0,0.875,0,0.0479,0.0773
video_0012,3_12_741,5706,1,1,1.0,0.875,1,0.625,0,0.9892,0.9882
video_0012,3_12_741,5714,1,1,1.0,0.909,1,0.625,0,0.9855,0.9858
video_0012,3_12_741,5722,1,1,1.0,0.918,1,0.562,0,0.9638,0.9748
video_0012,3_12_741,5730,1,1,1.0,0.911,1,0.812,0,0.5875,0.8047
video_0012,3_12_742,5844,1,1,1.0,0.729,0,0.938,0,0.9887,0.9893
video_0012,3_12_742,5852,1,1,1.0,0.776,0,0.938,0,0.9772,0.9808
video_0012,3_12_742,5860,1,1,1.0,0.833,1,0.625,0,0.8928,0.8611
video_0012,3_12_742,5868,1,1,1.0,0.794,1,0.438,0,0.4141,0.3858
video_0012,3_12_743,5856,1,1,0.625,0.767,1,0.4,1,0.9922,0.9889
video_0012,3_12_743,5864,1,1,1.0,0.827,1,0.625,0,0.9916,0.991
video_0012,3_12_743,5872,1,1,1.0,0.819,1,0.5,0,0.9896,0.9931
video_0012,3_12_743,5880,1,1,0.938,0.807,1,0.533,1,0.9832,0.9899
video_0012,3_12_747,7431,1,1,1.0,0.909,1,0.562,0,0.9992,0.9992
video_0012,3_12_747,7439,1,1,1.0,0.881,1,0.5,0,0.9992,0.9992
video_0012,3_12_747,7447,1,1,1.0,0.899,1,0.812,0,0.9993,0.9993
video_0012,3_12_747,7455,1,1,1.0,0.91,1,0.562,0,0.9992,0.9993
video_0012,3_12_732,2984,0,1,0.812,0.658,0,0.462,2,0.0064,0.0069
video_0012,3_12_732,2992,0,1,0.938,0.693,1,0.333,1,0.0062,0.0064
video_0012,3_12_732,3000,0,1,0.75,0.709,1,0.25,4,0.0058,0.006
video_0012,3_12_732,3008,0,1,0.75,0.795,0,0.25,3,0.0032,0.0032
video_0012,3_12_733,2981,0,1,1.0,0.689,1,0.5,0,0.0072,0.007
video_0012,3_12_733,2989,0,1,1.0,0.74,1,0.5,0,0.0061,0.0057
video_0012,3_12_733,2997,0,1,1.0,0.774,1,0.312,0,0.0071,0.008
video_0012,3_12_733,3005,0,1,0.938,0.792,0,0.4,1,0.0038,0.0039
video_0012,3_12_734,2989,0,1,0.625,0.763,1,0.3,5,0.0066,0.0068
video_0012,3_12_734,2997,0,1,0.5,0.82,0,0.25,6,0.0085,0.0089
video_0012,3_12_734,3005,0,1,0.688,0.811,0,0.273,4,0.005,0.0049
video_0012,3_12_734,3013,0,1,0.938,0.819,1,0.2,1,0.0026,0.0027
video_0012,3_12_744,6802,1,1,1.0,0.89,0,1.0,0,0.9378,0.9531
video_0012,3_12_744,6810,1,1,1.0,0.912,0,1.0,0,0.6812,0.7351
video_0012,3_12_744,6818,1,1,1.0,0.929,0,0.938,0,0.3127,0.3523
video_0012,3_12_744,6826,1,1,1.0,0.934,0,0.875,0,0.3166,0.29
video_0012,3_12_745,6889,1,1,1.0,0.871,0,0.938,0,0.999,0.9989
video_0012,3_12_745,6897,1,1,1.0,0.879,1,0.75,0,0.9989,0.9988
video_0012,3_12_745,6905,1,1,1.0,0.815,1,0.812,0,0.9984,0.9984
video_0012,3_12_745,6913,1,1,1.0,0.792,0,1.0,0,0.6755,0.879
video_0012,3_12_746,7423,1,1,1.0,0.645,1,0.438,0,0.9742,0.9397
video_0012,3_12_746,7431,1,1,1.0,0.664,1,0.438,0,0.9743,0.9599
video_0012,3_12_746,7439,1,1,1.0,0.643,1,0.312,0,0.9744,0.9597
video_0012,3_12_746,7447,1,1,1.0,0.616,1,0.312,0,0.9744,0.9537
video_0012,3_12_748,7526,1,1,1.0,0.8,1,0.438,0,0.9992,0.9993
video_0012,3_12_748,7534,1,1,0.938,0.695,1,0.333,1,0.9991,0.9991
video_0012,3_12_748,7542,1,1,0.938,0.649,1,0.333,1,0.9989,0.9987
video_0012,3_12_748,7550,1,1,1.0,0.696,1,0.5,0,0.9987,0.9982
video_0012,3_12_749,7477,1,1,1.0,0.878,1,0.5,0,0.9992,0.9992
video_0012,3_12_749,7485,1,1,1.0,0.89,1,0.5,0,0.9992,0.9992
video_0012,3_12_749,7493,1,1,1.0,0.861,1,0.5,0,0.9992,0.9993
video_0012,3_12_749,7501,1,1,1.0,0.829,1,0.438,0,0.9992,0.9992
video_0012,3_12_750,7435,1,1,1.0,0.895,1,0.438,0,0.9992,0.9992
video_0012,3_12_750,7443,1,1,1.0,0.891,1,0.75,0,0.9992,0.9992
video_0012,3_12_750,7451,1,1,1.0,0.86,1,0.75,0,0.9992,0.9992
video_0012,3_12_750,7459,1,1,1.0,0.826,1,0.562,0,0.9992,0.9992
video_0012,3_12_751,8409,0,1,1.0,0.696,1,0.375,0,0.0086,0.0091
video_0012,3_12_751,8417,0,1,0.938,0.756,1,0.267,1,0.0074,0.0072
video_0012,3_12_751,8425,0,1,0.938,0.655,1,0.267,1,0.0076,0.0079
video_0012,3_12_751,8433,0,1,1.0,0.701,1,0.25,0,0.0051,0.0054
video_0012,3_12_753,8483,0,1,1.0,0.801,1,0.188,0,0.0106,0.0112
video_0012,3_12_753,8491,0,1,1.0,0.83,1,0.25,0,0.0089,0.0094
video_0012,3_12_753,8499,0,1,1.0,0.858,1,0.625,0,0.0072,0.0073
video_0012,3_12_753,8507,0,1,1.0,0.874,1,0.688,0,0.0049,0.0051
video_0012,3_12_755,8483,0,1,0.625,0.78,0,0.2,0,0.0407,0.0459
video_0012,3_12_755,8491,0,0,0.125,0.791,0,0.5,0,0.0407,
video_0012,3_12_755,8499,0,0,0.438,0.776,0,0.571,0,0.0156,
video_0012,3_12_755,8507,0,1,0.938,0.84,1,0.4,0,0.0066,0.0075
video_0012,3_12_756,10603,0,1,1.0,0.809,1,0.375,0,0.0126,0.0196
video_0012,3_12_756,10611,0,1,1.0,0.856,1,0.438,0,0.0112,0.0131
video_0012,3_12_756,10619,0,1,1.0,0.86,1,0.625,0,0.009,0.0112
video_0012,3_12_756,10627,0,1,1.0,0.869,1,0.5,0,0.0064,0.0067
video_0012,3_12_760,11317,0,0,0.062,0.643,0,1.0,0,0.1177,
video_0012,3_12_760,11325,0,0,0.438,0.815,0,0.143,5,0.0883,
video_0012,3_12_760,11333,0,1,0.875,0.843,1,0.214,1,0.0257,0.0296
video_0012,3_12_760,11341,0,1,1.0,0.763,0,0.25,0,0.1792,0.2968
video_0012,3_12_762,11398,0,1,0.938,0.55,1,0.333,0,0.0088,0.01
video_0012,3_12_762,11406,0,1,0.875,0.556,1,0.214,2,0.0054,0.0054
video_0012,3_12_762,11414,0,1,0.938,0.562,1,0.333,0,0.0065,0.0064
video_0012,3_12_762,11422,0,1,1.0,0.58,1,0.25,0,0.0051,0.0054
video_0012,3_12_773,11415,0,0,0.0,0.0,0,0.0,16,0.9968,
video_0012,3_12_773,11423,0,0,0.0,0.0,0,0.0,16,0.99,
video_0012,3_12_773,11431,0,0,0.0,0.0,0,0.0,16,0.5438,
video_0012,3_12_773,11439,0,0,0.0,0.0,0,0.0,16,0.0066,
video_0012,3_12_776,15783,0,1,0.875,0.738,0,0.214,2,0.0259,0.0307
video_0012,3_12_776,15791,0,1,0.75,0.781,1,0.333,4,0.0152,0.0165
video_0012,3_12_776,15799,0,1,0.75,0.785,0,0.25,4,0.011,0.0103
video_0012,3_12_776,15807,0,1,1.0,0.795,1,0.25,0,0.0089,0.0097
video_0012,3_12_778,15850,0,1,0.688,0.933,0,0.182,2,0.1018,0.1155
video_0012,3_12_778,15858,0,1,0.938,0.927,1,0.267,1,0.0569,0.0662
video_0012,3_12_778,15866,0,1,1.0,0.897,1,0.312,0,0.0073,0.0068
video_0012,3_12_778,15874,0,1,1.0,0.865,1,0.312,0,0.0075,0.0083
video_0012,3_12_779,15776,0,1,0.5,0.845,0,0.25,0,0.0246,0.0403
video_0012,3_12_779,15784,0,0,0.0,0.0,0,0.0,16,0.0169,
video_0012,3_12_779,15792,0,0,0.312,0.582,0,0.4,0,0.0142,
video_0012,3_12_779,15800,0,1,0.812,0.67,0,0.231,0,0.0129,0.0132
video_0012,3_12_780,15767,0,1,0.5,0.77,0,0.25,0,0.0199,0.0159
video_0012,3_12_780,15775,0,1,0.812,0.702,0,0.308,1,0.03,0.14
video_0012,3_12_780,15783,0,0,0.312,0.592,0,0.4,1,0.0213,
video_0012,3_12_780,15791,0,0,0.125,0.869,0,0.5,0,0.0159,
video_0012,3_12_781,15779,0,1,0.562,0.794,0,0.333,1,0.0933,0.6482
video_0012,3_12_781,15787,0,0,0.125,0.731,0,0.5,0,0.1059,
video_0012,3_12_781,15795,0,0,0.438,0.901,0,0.429,0,0.0349,
video_0012,3_12_781,15803,0,1,0.938,0.864,1,0.4,0,0.0319,0.0274
video_0012,3_12_782,15853,0,0,0.0,0.0,0,0.0,16,0.8453,
video_0012,3_12_782,15861,0,0,0.0,0.0,0,0.0,16,0.4707,
video_0012,3_12_782,15869,0,0,0.0,0.0,0,0.0,16,0.0269,
video_0012,3_12_782,15877,0,0,0.0,0.0,0,0.0,16,0.0457,
video_0012,3_12_784,15862,0,1,0.938,0.792,1,0.2,1,0.0164,0.0171
video_0012,3_12_784,15870,0,1,0.938,0.841,1,0.267,1,0.0161,0.0162
video_0012,3_12_784,15878,0,1,0.938,0.818,1,0.333,1,0.011,0.0135
video_0012,3_12_784,15886,0,1,0.938,0.793,1,0.533,1,0.0087,0.0093
video_0012,3_12_786,15854,0,0,0.0,0.0,0,0.0,16,0.1114,
video_0012,3_12_786,15862,0,0,0.0,0.0,0,0.0,16,0.0345,
video_0012,3_12_786,15870,0,0,0.0,0.0,0,0.0,16,0.0196,
video_0012,3_12_786,15878,0,0,0.0,0.0,0,0.0,16,0.0186,
video_0012,3_12_787,15865,0,0,0.0,0.0,0,0.0,16,0.0427,
video_0012,3_12_787,15873,0,0,0.0,0.0,0,0.0,16,0.0194,
video_0012,3_12_787,15881,0,0,0.0,0.0,0,0.0,16,0.041,
video_0012,3_12_787,15889,0,0,0.375,0.732,0,0.167,0,0.0088,
video_0012,3_12_783,15849,0,0,0.0,0.0,0,0.0,16,0.7781,
video_0012,3_12_783,15857,0,0,0.0,0.0,0,0.0,16,0.3486,
video_0012,3_12_783,15865,0,0,0.0,0.0,0,0.0,16,0.1609,
video_0012,3_12_783,15873,0,0,0.0,0.0,0,0.0,16,0.1143,
video_0012,3_12_790,16421,0,1,0.812,0.792,0,0.385,3,0.0082,0.0085
video_0012,3_12_792,16501,0,0,0.125,0.647,0,1.0,0,0.0082,
video_0012,3_12_792,16509,0,0,0.375,0.692,0,0.333,5,0.0032,
video_0012,3_12_794,16461,0,0,0.0,0.0,0,0.0,16,0.0915,
video_0012,3_12_794,16469,0,0,0.375,0.566,0,0.333,0,0.016,
video_0012,3_12_794,16477,0,1,0.812,0.575,0,0.462,1,0.0155,0.019
video_0012,3_12_794,16485,0,1,0.938,0.648,1,0.267,1,0.0103,0.0109
video_0012,3_12_798,16557,0,0,0.312,0.731,0,0.4,1,0.0094,
video_0012,3_12_798,16565,0,0,0.25,0.726,0,0.25,0,0.0083,
video_0012,3_12_798,16573,0,1,0.75,0.767,1,0.333,0,0.0058,0.0057
video_0012,3_12_798,16581,0,1,1.0,0.787,1,0.312,0,0.0043,0.0044
video_0016,3_16_897,1076,0,1,1.0,0.894,1,0.312,0,0.1196,0.1269
video_0016,3_16_897,1084,0,1,1.0,0.87,1,0.5,0,0.1315,0.118
video_0016,3_16_897,1092,0,1,1.0,0.865,0,0.812,0,0.0936,0.0867
video_0016,3_16_897,1100,0,1,1.0,0.874,0,0.938,0,0.0675,0.0536
video_0016,3_16_898,1081,0,0,0.312,0.72,0,0.4,0,0.0504,
video_0016,3_16_898,1089,0,1,0.812,0.796,0,0.231,0,0.2201,0.1467
video_0016,3_16_898,1097,0,1,1.0,0.817,1,0.188,0,0.0161,0.0164
video_0016,3_16_898,1105,0,1,1.0,0.779,0,0.188,0,0.0096,0.0102
video_0016,3_16_899,1278,0,1,1.0,0.846,1,0.188,0,0.0092,0.0092
video_0016,3_16_899,1286,0,1,1.0,0.846,1,0.375,0,0.0074,0.0069
video_0016,3_16_899,1294,0,1,1.0,0.832,0,0.25,0,0.0055,0.0052
video_0016,3_16_899,1302,0,1,1.0,0.834,1,0.188,0,0.0031,0.0032
video_0016,3_16_901,1745,0,0,0.312,0.769,0,0.4,10,0.0063,
video_0016,3_16_901,1753,0,0,0.188,0.68,0,0.333,4,0.0051,
video_0016,3_16_901,1761,0,1,0.562,0.769,0,0.333,6,0.0044,0.0044
video_0016,3_16_901,1769,0,1,0.938,0.838,0,0.333,1,0.0035,0.0036
video_0016,3_16_905,8028,0,1,1.0,0.685,1,0.25,0,0.0199,0.0197
video_0016,3_16_905,8036,0,1,1.0,0.709,1,0.25,0,0.0119,0.0122
video_0016,3_16_905,8044,0,1,1.0,0.769,1,0.25,0,0.0098,0.0096
video_0016,3_16_905,8052,0,1,0.938,0.784,1,0.267,1,0.0063,0.0066
video_0016,3_16_911,12942,0,1,0.938,0.795,0,0.333,1,0.0125,0.0139
video_0016,3_16_911,12950,0,1,1.0,0.831,1,0.438,0,0.01,0.0094
video_0016,3_16_911,12958,0,1,1.0,0.883,1,0.375,0,0.0067,0.0067
video_0016,3_16_911,12966,0,1,1.0,0.866,1,0.375,0,0.0052,0.0056
video_0016,3_16_917,16143,0,0,0.0,0.0,0,0.0,16,0.9254,
video_0016,3_16_917,16151,0,0,0.0,0.0,0,0.0,16,0.0832,
video_0016,3_16_917,16159,0,0,0.0,0.0,0,0.0,16,0.5642,
video_0016,3_16_917,16167,0,0,0.0,0.0,0,0.0,16,0.48,
video_0016,3_16_918,2504,1,0,0.0,0.0,0,0.0,16,0.014,
video_0016,3_16_918,2512,1,0,0.0,0.0,0,0.0,16,0.0175,
video_0016,3_16_918,2520,1,0,0.125,0.405,0,0.5,0,0.0164,
video_0016,3_16_918,2528,1,0,0.375,0.455,0,0.167,0,0.0117,
video_0016,3_16_919,2507,1,1,0.875,0.768,1,0.286,2,0.0058,0.0058
video_0016,3_16_919,2515,1,1,0.688,0.793,1,0.364,5,0.0064,0.0062
video_0016,3_16_919,2523,1,1,0.625,0.808,0,0.2,1,0.0055,0.0055
video_0016,3_16_919,2531,1,1,0.938,0.849,1,0.333,1,0.0048,0.0047
video_0016,3_16_920,2591,1,1,0.875,0.755,0,0.143,2,0.4958,0.5324
video_0016,3_16_920,2599,1,0,0.375,0.674,0,0.333,2,0.5669,
video_0016,3_16_920,2607,1,0,0.438,0.804,0,0.143,1,0.8843,
video_0016,3_16_920,2615,1,1,0.938,0.823,1,0.267,1,0.7297,0.5424
video_0016,3_16_921,2722,1,1,0.875,0.475,1,0.286,1,0.891,0.9193
video_0016,3_16_921,2730,1,1,1.0,0.54,1,0.312,0,0.8932,0.9263
video_0016,3_16_921,2738,1,1,1.0,0.613,1,0.25,0,0.9154,0.9272
video_0016,3_16_921,2746,1,1,0.875,0.709,0,0.214,1,0.9252,0.9249
video_0016,3_16_922,2756,1,1,0.688,0.596,0,0.182,3,0.9016,0.9339
video_0016,3_16_922,2764,1,1,0.625,0.63,0,0.3,4,0.9131,0.9067
video_0016,3_16_922,2772,1,0,0.312,0.534,0,0.4,7,0.9195,
video_0016,3_16_922,2780,1,0,0.188,0.55,0,0.333,5,0.9263,
video_0016,3_16_923,3188,1,1,1.0,0.773,1,0.25,0,0.8914,0.8928
video_0016,3_16_923,3196,1,1,0.938,0.81,0,0.2,1,0.9071,0.9085
video_0016,3_16_923,3204,1,1,0.938,0.815,1,0.267,1,0.9245,0.9232
video_0016,3_16_923,3212,1,1,1.0,0.833,1,0.312,0,0.9489,0.9489
video_0016,3_16_924,3719,1,1,0.938,0.834,1,0.267,1,0.904,0.8939
video_0016,3_16_924,3727,1,1,0.875,0.896,0,0.214,2,0.9145,0.9056
video_0016,3_16_924,3735,1,1,0.938,0.87,0,0.467,1,0.931,0.9116
video_0016,3_16_924,3743,1,1,1.0,0.864,0,0.438,0,0.9491,0.9349
video_0016,3_16_925,3768,1,0,0.312,0.68,0,0.4,0,0.869,
video_0016,3_16_925,3776,1,1,0.812,0.781,0,0.231,0,0.8783,0.9178
video_0016,3_16_925,3784,1,1,1.0,0.834,1,0.375,0,0.889,0.8867
video_0016,3_16_925,3792,1,1,0.938,0.843,1,0.667,1,0.9088,0.9122
video_0016,3_16_926,4659,0,1,0.938,0.85,0,0.2,1,0.9702,0.9643
video_0016,3_16_926,4667,0,1,0.812,0.781,0,0.231,0,0.926,0.676
video_0016,3_16_926,4675,0,0,0.312,0.684,0,0.6,0,0.9299,
video_0016,3_16_926,4683,0,0,0.062,0.524,0,1.0,0,0.9058,
video_0016,3_16_927,4682,0,0,0.0,0.0,0,0.0,16,0.8353,
video_0016,3_16_927,4690,0,0,0.188,0.415,0,0.333,0,0.8251,
video_0016,3_16_927,4698,0,1,0.562,0.491,0,0.222,7,0.5558,0.5354
video_0016,3_16_927,4706,0,1,0.875,0.521,0,0.286,1,0.5871,0.5861
