idx,video_id,ped_id,label,anchor_frame,n_frames_annotated_in_window,n_crossing_in_window,anchor_is_crossing,window_has_leakage,crossing_onset_frame,anchor_minus_onset,bbox_bottom_y,bbox_height,bbox_xcenter,bbox_area
31,video_0039,0_39_189b,1,253,16,16,True,True,26.0,227.0,991.0,348.0,1570.5,59508.0
32,video_0042,0_42_198b,1,193,16,16,True,True,0.0,193.0,971.0,288.0,504.0,33408.0
33,video_0044,0_44_202b,1,164,16,16,True,True,75.0,89.0,816.0,214.0,825.0,14552.0
34,video_0045,0_45_207b,1,84,16,16,True,True,63.0,21.0,767.0,119.0,616.0,7140.0
35,video_0046,0_46_213b,1,154,16,16,True,True,0.0,154.0,780.0,157.0,1287.5,9577.0
36,video_0047,0_47_214b,1,83,16,16,True,True,37.0,46.0,833.0,200.0,814.0,16400.0
37,video_0049,0_49_219b,1,224,16,16,True,True,112.0,112.0,825.0,126.0,870.5,6930.0
38,video_0049,0_49_218b,1,224,16,16,True,True,117.0,107.0,846.0,148.0,793.5,9324.0
39,video_0050,0_50_221b,1,224,16,16,True,True,0.0,224.0,863.0,220.0,1418.5,16500.0
40,video_0053,0_53_231b,1,190,16,16,True,True,0.0,190.0,1012.0,284.0,690.5,26980.0
41,video_0053,0_53_226b,1,194,16,16,True,True,7.0,187.0,855.0,107.0,1144.0,6206.0
42,video_0054,0_54_239b,1,305,16,16,True,True,0.0,305.0,802.0,233.0,1655.5,23533.0
43,video_0055,0_55_254b,0,131,16,0,False,False,,,733.0,106.0,1037.5,5194.0
44,video_0056,0_56_255b,1,213,16,16,True,True,0.0,213.0,806.0,175.0,841.0,12250.0
45,video_0057,0_57_257b,1,191,16,16,True,True,54.0,137.0,779.0,153.0,714.0,11016.0
46,video_0059,0_59_265b,0,34,16,0,False,False,,,868.0,211.0,1411.5,17513.0
47,video_0059,0_59_262b,0,44,16,0,False,False,,,876.0,165.0,1470.5,12045.0
48,video_0059,0_59_260b,0,48,16,0,False,False,,,883.0,240.0,1470.5,27120.0
49,video_0060,0_60_266b,1,161,16,16,True,True,71.0,90.0,832.0,275.0,1017.0,53350.0
50,video_0071,0_71_365b,1,251,16,16,True,True,158.0,93.0,1070.0,543.0,849.5,151497.0
51,video_0072,0_72_383b,1,143,16,16,True,True,48.0,95.0,911.0,268.0,710.0,37520.0
52,video_0072,0_72_378b,1,148,16,16,True,True,61.0,87.0,891.0,245.0,678.5,36015.0
53,video_0073,0_73_384b,1,74,16,16,True,True,0.0,74.0,818.0,96.0,825.5,2976.0
54,video_0076,0_76_403b,1,221,16,0,False,False,0.0,221.0,959.0,418.0,1651.5,87362.0
55,video_0076,0_76_400b,1,224,16,16,True,True,151.0,73.0,1079.0,494.0,1039.0,106704.0
56,video_0076,0_76_398b,1,224,16,16,True,True,128.0,96.0,1033.0,458.0,982.5,82898.0
57,video_0077,0_77_407b,1,134,16,16,True,True,29.0,105.0,1000.0,390.0,1412.0,78000.0
58,video_0077,0_77_405b,1,134,16,16,True,True,54.0,80.0,1027.0,382.0,1262.0,71052.0
59,video_0077,0_77_406b,1,119,16,16,True,True,41.0,78.0,1023.0,485.0,1282.0,105730.0
60,video_0078,0_78_416b,1,232,16,16,True,True,65.0,167.0,812.0,185.0,1192.0,12210.0
61,video_0078,0_78_410b,1,235,16,16,True,True,65.0,170.0,818.0,178.0,1162.5,12638.0
62,video_0079,0_79_418b,1,194,16,16,True,True,94.0,100.0,907.0,233.0,710.5,25863.0
63,video_0080,0_80_428b,1,159,16,16,True,True,62.0,97.0,786.0,313.0,422.0,57592.0
64,video_0080,0_80_423b,1,208,16,16,True,True,71.0,137.0,772.0,276.0,584.5,38916.0
65,video_0081,0_81_431b,1,104,16,16,True,True,0.0,104.0,736.0,319.0,886.5,55825.0
66,video_0081,0_81_430b,1,104,16,16,True,True,0.0,104.0,771.0,354.0,845.0,36108.0
67,video_0082,0_82_436b,1,101,16,16,True,True,38.0,63.0,960.0,333.0,423.5,46953.0
68,video_0083,0_83_447b,1,188,16,16,True,True,0.0,188.0,821.0,230.0,1026.0,19780.0
69,video_0084,0_84_455b,1,254,16,16,True,True,43.0,211.0,843.0,216.0,1143.0,24192.0
70,video_0085,0_85_460b,1,214,16,16,True,True,139.0,75.0,1079.0,439.0,1360.5,100531.0
71,video_0086,0_86_461b,0,115,16,0,False,False,32.0,83.0,885.0,201.0,552.5,15477.0
72,video_0087,0_87_483b,1,187,16,16,True,True,0.0,187.0,943.0,348.0,1316.0,60552.0
73,video_0087,0_87_477b,1,236,16,16,True,True,95.0,141.0,898.0,298.0,777.5,43210.0
74,video_0088,0_88_487b,1,186,16,16,True,True,131.0,55.0,1001.0,456.0,614.5,80712.0
75,video_0089,0_89_494b,1,264,16,16,True,True,225.0,39.0,1058.0,430.0,690.5,106210.0
76,video_0089,0_89_493b,1,278,16,16,True,True,243.0,35.0,1047.0,447.0,782.5,112197.0
77,video_0090,0_90_497b,1,179,16,16,True,True,100.0,79.0,943.0,338.0,447.5,51714.0
78,video_0091,0_91_502b,1,134,16,16,True,True,55.0,79.0,1068.0,419.0,883.5,61593.0
79,video_0092,0_92_509b,1,134,16,16,True,True,0.0,134.0,944.0,213.0,1011.0,26412.0
80,video_0092,0_92_506b,0,68,16,16,True,True,0.0,68.0,819.0,110.0,481.5,5610.0
81,video_0092,0_92_504b,1,134,16,16,True,True,0.0,134.0,943.0,236.0,918.0,31624.0
82,video_0093,0_93_512b,1,184,16,16,True,True,110.0,74.0,1079.0,529.0,1231.0,128018.0
83,video_0093,0_93_511b,1,192,16,16,True,True,110.0,82.0,1079.0,484.0,1359.5,110836.0
84,video_0094,0_94_518b,1,207,16,16,True,True,81.0,126.0,980.0,310.0,1078.0,43400.0
85,video_0094,0_94_514b,1,210,16,16,True,True,78.0,132.0,1021.0,368.0,1064.0,50784.0
86,video_0095,0_95_522b,1,189,16,16,True,True,0.0,189.0,797.0,212.0,1094.0,24168.0
87,video_0096,0_96_528b,1,194,16,16,True,True,78.0,116.0,928.0,262.0,1079.5,22270.0
88,video_0097,0_97_537b,1,173,16,16,True,True,22.0,151.0,858.0,214.0,1047.0,23112.0
89,video_0098,0_98_545b,1,194,16,16,True,True,25.0,169.0,781.0,121.0,984.5,6413.0
90,video_0098,0_98_544b,1,194,16,16,True,True,54.0,140.0,779.0,118.0,940.0,5192.0
91,video_0099,0_99_549b,1,134,16,16,True,True,7.0,127.0,794.0,134.0,806.0,11524.0
92,video_0100,0_100_554b,1,192,16,16,True,True,0.0,192.0,805.0,148.0,1119.5,9916.0
93,video_0101,0_101_559b,1,289,16,16,True,True,209.0,80.0,1079.0,462.0,1298.0,119196.0
94,video_0102,0_102_564b,1,314,16,16,True,True,136.0,178.0,1067.0,404.0,1626.0,72720.0
95,video_0103,0_103_573b,1,290,16,16,True,True,93.0,197.0,972.0,312.0,1128.0,39312.0
96,video_0103,0_103_570b,1,282,16,16,True,True,118.0,164.0,996.0,295.0,1157.5,35105.0
97,video_0103,0_103_572b,1,287,16,16,True,True,110.0,177.0,982.0,306.0,1142.5,41310.0
98,video_0104,0_104_575b,1,99,16,16,True,True,0.0,99.0,882.0,194.0,1054.0,12416.0
99,video_0105,0_105_581b,1,278,16,16,True,True,79.0,199.0,993.0,351.0,1446.0,61074.0
100,video_0105,0_105_578b,1,283,16,16,True,True,92.0,191.0,976.0,230.0,1381.0,27600.0
101,video_0105,0_105_580b,1,289,16,16,True,True,109.0,180.0,953.0,341.0,1312.5,56947.0
102,video_0107,0_107_587b,0,126,16,0,False,False,0.0,126.0,909.0,281.0,1215.0,34844.0
103,video_0108,0_108_595b,1,244,16,16,True,True,63.0,181.0,1044.0,467.0,1190.5,94801.0
104,video_0109,0_109_611b,1,274,16,16,True,True,102.0,172.0,905.0,272.0,1599.0,23392.0
105,video_0109,0_109_608b,1,284,16,16,True,True,198.0,86.0,998.0,381.0,921.0,93726.0
106,video_0109,0_109_606b,1,302,16,16,True,True,150.0,152.0,913.0,277.0,1383.0,39334.0
107,video_0110,0_110_618b,1,164,16,16,True,True,0.0,164.0,765.0,96.0,892.0,4224.0
108,video_0110,0_110_613b,1,164,16,16,True,True,30.0,134.0,767.0,94.0,940.5,3854.0
109,video_0111,0_111_628b,1,122,16,0,False,False,0.0,122.0,807.0,165.0,1426.5,12045.0
110,video_0111,0_111_622b,1,209,16,16,True,True,36.0,173.0,923.0,304.0,615.5,48944.0
111,video_0112,0_112_632b,1,42,16,16,True,True,0.0,42.0,763.0,210.0,1223.5,18270.0
112,video_0112,0_112_631b,1,185,16,16,True,True,86.0,99.0,922.0,377.0,647.5,81055.0
113,video_0113,0_113_642b,1,194,16,16,True,True,25.0,169.0,803.0,234.0,1110.0,27612.0
114,video_0113,0_113_636b,1,189,16,16,True,True,31.0,158.0,835.0,224.0,1192.0,24640.0
115,video_0114,0_114_651b,1,254,16,16,True,True,94.0,160.0,618.0,126.0,883.5,6930.0
116,video_0114,0_114_646b,1,254,16,16,True,True,233.0,21.0,602.0,111.0,724.0,5106.0
117,video_0115,0_115_670b,0,113,16,0,False,False,,,781.0,92.0,431.5,4140.0
118,video_0116,0_116_672b,1,156,16,9,False,True,43.0,113.0,982.0,317.0,1115.0,44380.0
119,video_0116,0_116_671b,0,221,16,0,False,False,,,843.0,185.0,340.5,17575.0
120,video_0118,0_118_685b,1,185,16,16,True,True,74.0,111.0,937.0,299.0,1052.0,38870.0
121,video_0119,0_119_695b,1,164,16,16,True,True,21.0,143.0,938.0,490.0,762.0,75460.0
122,video_0120,0_120_701b,1,187,16,16,True,True,58.0,129.0,838.0,316.0,736.0,40448.0
123,video_0122,0_122_718b,1,39,16,16,True,True,0.0,39.0,815.0,196.0,388.0,16856.0
124,video_0122,0_122_713b,1,131,16,16,True,True,0.0,131.0,962.0,341.0,765.5,49445.0
125,video_0123,0_123_720b,1,98,16,16,True,True,0.0,98.0,1029.0,397.0,1113.5,90119.0
126,video_0124,0_124_737b,1,386,16,0,False,False,0.0,386.0,863.0,216.0,1148.0,22464.0
127,video_0124,0_124_742b,1,187,16,16,True,True,123.0,64.0,806.0,172.0,251.5,11180.0
128,video_0124,0_124_743b,1,356,16,16,True,True,302.0,54.0,926.0,281.0,486.0,37654.0
129,video_0124,0_124_738b,1,188,16,16,True,True,126.0,62.0,809.0,132.0,272.5,6996.0
130,video_0125,0_125_748b,1,186,16,16,True,True,19.0,167.0,971.0,351.0,1202.5,50895.0
131,video_0125,0_125_744b,0,56,16,0,False,False,,,777.0,131.0,1546.5,7205.0
132,video_0126,0_126_750b,1,236,16,16,True,True,58.0,178.0,992.0,318.0,1190.5,44838.0
133,video_0128,0_128_757b,1,287,16,16,True,True,159.0,128.0,873.0,107.0,578.5,5671.0
134,video_0128,0_128_755b,1,290,16,16,True,True,138.0,152.0,872.0,158.0,577.5,16590.0
135,video_0128,0_128_759b,0,282,16,0,False,False,,,854.0,147.0,330.0,8820.0
136,video_0128,0_128_754b,0,314,16,0,False,False,,,779.0,81.0,1209.5,3969.0
137,video_0129,0_129_762b,1,89,16,16,True,True,22.0,67.0,985.0,345.0,765.5,63825.0
138,video_0130,0_130_770b,1,87,16,16,True,True,32.0,55.0,883.0,270.0,544.0,40500.0
139,video_0131,0_131_778b,1,119,16,16,True,True,0.0,119.0,809.0,245.0,520.5,28665.0
140,video_0131,0_131_774b,1,158,16,16,True,True,74.0,84.0,918.0,358.0,766.5,58354.0
141,video_0132,0_132_786b,1,245,16,16,True,True,140.0,105.0,1071.0,485.0,612.5,132405.0
142,video_0132,0_132_781b,1,248,16,16,True,True,120.0,128.0,1024.0,438.0,603.0,84096.0
143,video_0133,0_133_790b,1,154,16,16,True,True,0.0,154.0,775.0,336.0,1063.5,48048.0
144,video_0134,0_134_797b,1,554,16,0,False,False,313.0,241.0,870.0,300.0,389.5,35700.0
145,video_0134,0_134_793b,1,554,16,0,False,False,294.0,260.0,878.0,298.0,552.0,29800.0
146,video_0135,0_135_819b,1,294,16,16,True,True,145.0,149.0,920.0,321.0,169.5,39483.0
147,video_0135,0_135_805b,1,285,16,16,True,True,152.0,133.0,942.0,329.0,185.0,43428.0
148,video_0135,0_135_831b,1,464,16,16,True,True,220.0,244.0,850.0,221.0,1239.5,32487.0
149,video_0135,0_135_828b,1,324,16,16,True,True,156.0,168.0,904.0,265.0,221.0,34450.0
150,video_0135,0_135_813b,1,464,16,16,True,True,339.0,125.0,904.0,255.0,492.5,32895.0
151,video_0135,0_135_825b,1,464,16,16,True,True,428.0,36.0,957.0,367.0,1176.5,56151.0
152,video_0135,0_135_801b,1,270,16,16,True,True,168.0,102.0,995.0,411.0,236.0,54252.0
153,video_0135,0_135_815b,1,301,16,16,True,True,118.0,183.0,886.0,261.0,174.5,23229.0
154,video_0135,0_135_817b,1,464,16,2,False,True,148.0,316.0,855.0,256.0,1690.5,27392.0
155,video_0135,0_135_823b,1,463,16,0,False,False,167.0,296.0,863.0,285.0,1776.0,27930.0
156,video_0135,0_135_829b,1,464,16,0,False,False,474.0,-10.0,962.0,394.0,1568.5,73678.0
157,video_0136,0_136_846b,1,187,16,16,True,True,0.0,187.0,767.0,201.0,1030.5,19899.0
158,video_0137,0_137_847b,1,164,16,16,True,True,0.0,164.0,939.0,296.0,1062.5,45880.0
159,video_0138,0_138_859b,1,254,16,0,False,False,0.0,254.0,730.0,153.0,1496.0,8568.0
160,video_0138,0_138_856b,1,224,16,16,True,True,0.0,224.0,890.0,298.0,1216.0,42316.0
161,video_0138,0_138_854b,1,225,16,16,True,True,0.0,225.0,875.0,271.0,1227.5,31707.0
162,video_0138,0_138_858b,1,218,16,16,True,True,0.0,218.0,891.0,313.0,1303.0,40064.0
163,video_0139,0_139_866b,1,119,16,16,True,True,0.0,119.0,980.0,442.0,734.5,85306.0
164,video_0139,0_139_863b,1,125,16,16,True,True,0.0,125.0,987.0,468.0,1044.5,86580.0
165,video_0139,0_139_861b,1,137,16,16,True,True,0.0,137.0,995.0,469.0,609.5,102711.0
166,video_0139,0_139_865b,1,153,16,16,True,True,77.0,76.0,987.0,482.0,771.5,108450.0
167,video_0140,0_140_868b,1,196,16,16,True,True,97.0,99.0,977.0,349.0,666.0,50954.0
168,video_0141,0_141_873b,1,104,16,16,True,True,9.0,95.0,930.0,284.0,910.5,36636.0
169,video_0141,0_141_872b,1,104,16,16,True,True,0.0,104.0,900.0,245.0,963.5,32095.0
170,video_0143,0_143_881b,1,251,16,16,True,True,38.0,213.0,886.0,318.0,1645.5,44202.0
171,video_0143,0_143_879b,1,254,16,16,True,True,122.0,132.0,862.0,210.0,940.5,22890.0
172,video_0143,0_143_877b,1,241,16,16,True,True,39.0,202.0,858.0,280.0,1626.0,29680.0
173,video_0144,0_144_900b,1,190,16,16,True,True,91.0,99.0,938.0,279.0,831.0,28458.0
174,video_0144,0_144_888b,1,195,16,16,True,True,94.0,101.0,938.0,283.0,801.0,35658.0
175,video_0144,0_144_910b,1,163,16,16,True,True,25.0,138.0,905.0,256.0,1036.0,36352.0
176,video_0144,0_144_909b,1,159,16,16,True,True,0.0,159.0,873.0,211.0,1170.5,20467.0
177,video_0145,0_145_929b,1,159,16,16,True,True,0.0,159.0,906.0,266.0,254.5,31122.0
178,video_0145,0_145_934b,1,214,16,16,True,True,97.0,117.0,1031.0,436.0,624.5,99844.0
179,video_0145,0_145_930b,1,227,16,16,True,True,84.0,143.0,974.0,339.0,644.5,45087.0
180,video_0146,0_146_947b,1,64,16,16,True,True,0.0,64.0,793.0,116.0,1240.5,5684.0
181,video_0146,0_146_940b,1,74,16,16,True,True,0.0,74.0,819.0,142.0,876.5,12638.0
182,video_0146,0_146_943b,1,72,16,16,True,True,0.0,72.0,809.0,128.0,1202.0,6912.0
183,video_0147,0_147_950b,0,42,16,0,False,False,,,867.0,202.0,1220.0,14948.0
184,video_0147,0_147_949b,1,314,16,0,False,False,89.0,225.0,988.0,353.0,625.0,61422.0
185,video_0148,0_148_953b,0,32,16,0,False,False,,,704.0,141.0,1200.5,8601.0
186,video_0148,0_148_952b,0,34,16,0,False,False,,,698.0,146.0,1282.5,8906.0
187,video_0149,0_149_961b,1,231,16,16,True,True,87.0,144.0,848.0,400.0,1759.5,59600.0
188,video_0149,0_149_958b,1,254,16,16,True,True,135.0,119.0,803.0,335.0,1002.0,36180.0
189,video_0149,0_149_956b,1,254,16,16,True,True,115.0,139.0,825.0,372.0,797.0,81096.0
190,video_0149,0_149_960b,1,254,16,16,True,True,211.0,43.0,866.0,448.0,846.5,94528.0
191,video_0150,0_150_974b,1,284,16,0,False,False,0.0,284.0,971.0,345.0,1556.0,60720.0
192,video_0150,0_150_967b,1,284,16,16,True,True,194.0,90.0,1007.0,329.0,693.0,38822.0
193,video_0150,0_150_970b,1,226,16,16,True,True,171.0,55.0,1032.0,363.0,466.0,68970.0
194,video_0151,0_151_987b,1,224,16,16,True,True,76.0,148.0,873.0,242.0,1140.5,33154.0
195,video_0151,0_151_988b,1,224,16,16,True,True,103.0,121.0,899.0,269.0,988.0,32280.0
196,video_0152,0_152_1022b,1,165,16,16,True,True,28.0,137.0,988.0,267.0,921.5,41919.0
197,video_0152,0_152_1001b,1,177,16,16,True,True,37.0,140.0,966.0,279.0,781.0,48546.0
198,video_0152,0_152_1019b,1,197,16,16,True,True,0.0,197.0,961.0,352.0,703.5,58784.0
199,video_0152,0_152_997b,1,171,16,16,True,True,26.0,145.0,973.0,369.0,825.5,57933.0
200,video_0152,0_152_1018b,0,107,16,16,True,True,64.0,43.0,920.0,330.0,329.0,39600.0
201,video_0152,0_152_1010b,0,73,16,0,False,False,,,780.0,170.0,1632.0,10880.0
202,video_0154,0_154_1048b,1,177,16,16,True,True,57.0,120.0,734.0,116.0,126.5,4756.0
203,video_0154,0_154_1042b,1,284,16,16,True,True,0.0,284.0,913.0,254.0,441.0,32004.0
204,video_0155,0_155_1050b,1,141,16,16,True,True,58.0,83.0,907.0,279.0,803.0,34596.0
205,video_0156,0_156_1059b,1,104,16,16,True,True,11.0,93.0,933.0,307.0,841.0,49734.0
206,video_0156,0_156_1054b,1,104,16,16,True,True,44.0,60.0,923.0,251.0,963.0,28112.0
207,video_0157,0_157_1068b,1,44,16,16,True,True,0.0,44.0,800.0,122.0,841.5,4758.0
208,video_0157,0_157_1063b,1,44,16,16,True,True,0.0,44.0,791.0,93.0,1020.5,4371.0
209,video_0158,0_158_1071b,1,125,16,16,True,True,32.0,93.0,983.0,323.0,1004.0,38114.0
210,video_0159,0_159_1081b,1,194,16,16,True,True,0.0,194.0,822.0,182.0,615.0,15288.0
211,video_0159,0_159_1078b,1,194,16,16,True,True,79.0,115.0,864.0,258.0,502.0,37152.0
212,video_0159,0_159_1076b,1,194,16,16,True,True,0.0,194.0,822.0,202.0,369.5,16362.0
213,video_0160,0_160_1085b,1,164,16,16,True,True,0.0,164.0,840.0,173.0,852.0,14186.0
214,video_0161,0_161_1091b,1,104,16,16,True,True,40.0,64.0,793.0,101.0,887.0,5858.0
215,video_0162,0_162_1095b,0,58,16,16,True,True,0.0,58.0,795.0,106.0,719.0,4664.0
216,video_0163,0_163_1103b,1,143,16,16,True,True,109.0,34.0,1079.0,613.0,748.5,188191.0
217,video_0164,0_164_1133b,1,89,16,16,True,True,17.0,72.0,903.0,385.0,523.0,45430.0
218,video_0164,0_164_1127b,1,83,16,16,True,True,26.0,57.0,856.0,234.0,483.5,24570.0
219,video_0165,0_165_1140b,1,224,16,16,True,True,124.0,100.0,825.0,239.0,845.0,31548.0
220,video_0165,0_165_1137b,1,205,16,16,True,True,114.0,91.0,869.0,336.0,408.5,56112.0
221,video_0166,0_166_1145b,1,164,16,16,True,True,91.0,73.0,787.0,235.0,747.5,35015.0
222,video_0167,0_167_1152b,1,104,16,16,True,True,0.0,104.0,845.0,225.0,616.0,17550.0
223,video_0168,0_168_1166b,1,74,16,16,True,True,0.0,74.0,720.0,52.0,809.0,1144.0
224,video_0169,0_169_1179b,1,134,16,16,True,True,0.0,134.0,760.0,101.0,908.0,4646.0
225,video_0170,0_170_1193b,1,74,16,16,True,True,0.0,74.0,760.0,100.0,759.0,5000.0
226,video_0171,0_171_1201b,1,104,16,16,True,True,40.0,64.0,925.0,298.0,735.0,42912.0
227,video_0172,0_172_1205b,1,134,16,16,True,True,87.0,47.0,931.0,306.0,883.5,60894.0
228,video_0172,0_172_1203b,1,134,16,13,True,True,122.0,12.0,883.0,246.0,666.0,31980.0
229,video_0172,0_172_1204b,1,134,16,14,True,True,121.0,13.0,896.0,257.0,646.5,39835.0
230,video_0173,0_173_1211b,1,104,16,16,True,True,84.0,20.0,895.0,257.0,1005.5,21331.0
231,video_0174,0_174_1231b,1,74,16,16,True,True,0.0,74.0,785.0,155.0,829.0,11160.0
232,video_0174,0_174_1226b,1,74,16,16,True,True,0.0,74.0,774.0,132.0,727.0,8184.0
233,video_0175,0_175_1245b,1,104,16,16,True,True,0.0,104.0,868.0,250.0,627.0,34000.0
234,video_0175,0_175_1237b,1,104,16,16,True,True,0.0,104.0,862.0,241.0,781.0,17352.0
235,video_0175,0_175_1244b,1,104,16,16,True,True,19.0,85.0,845.0,116.0,798.0,6728.0
236,video_0175,0_175_1241b,1,104,16,16,True,True,0.0,104.0,875.0,154.0,689.5,12474.0
237,video_0176,0_176_1250b,1,242,16,16,True,True,167.0,75.0,1067.0,425.0,571.5,89675.0
238,video_0177,0_177_1268b,1,219,16,16,True,True,42.0,177.0,856.0,267.0,1350.0,28836.0
239,video_0177,0_177_1263b,1,236,16,16,True,True,89.0,147.0,875.0,317.0,710.0,38674.0
240,video_0178,0_178_1283b,1,104,16,16,True,True,0.0,104.0,986.0,357.0,280.0,44982.0
241,video_0178,0_178_1274b,1,71,16,16,True,True,39.0,32.0,866.0,262.0,48.5,25414.0
242,video_0178,0_178_1282b,1,194,16,16,True,True,163.0,31.0,916.0,333.0,281.5,36963.0
243,video_0178,0_178_1270b,1,194,16,16,True,True,165.0,29.0,902.0,326.0,255.0,40424.0
244,video_0178,0_178_1279b,1,105,16,16,True,True,0.0,105.0,939.0,250.0,223.5,25250.0
245,video_0179,0_179_1287b,1,228,16,16,True,True,40.0,188.0,827.0,250.0,1351.0,31000.0
246,video_0179,0_179_1286b,1,284,16,16,True,True,135.0,149.0,739.0,145.0,913.5,10295.0
247,video_0183,0_183_1295b,1,186,16,16,True,True,139.0,47.0,1026.0,382.0,700.5,66086.0
248,video_0183,0_183_1294b,1,224,16,16,True,True,163.0,61.0,908.0,246.0,744.0,31980.0
249,video_0184,0_184_1308b,1,244,16,16,True,True,107.0,137.0,953.0,307.0,1096.0,46050.0
250,video_0184,0_184_1304b,1,248,16,16,True,True,107.0,141.0,966.0,334.0,1085.0,42084.0
251,video_0185,0_185_1314b,1,104,16,16,True,True,7.0,97.0,802.0,280.0,892.0,20720.0
252,video_0187,0_187_1346b,1,194,16,16,True,True,0.0,194.0,861.0,185.0,782.5,14615.0
253,video_0187,0_187_1344b,1,194,16,16,True,True,48.0,146.0,890.0,222.0,906.5,22866.0
254,video_0187,0_187_1345b,1,194,16,16,True,True,0.0,194.0,851.0,177.0,830.5,10797.0
255,video_0189,0_189_1360b,0,66,16,0,False,False,,,778.0,136.0,669.0,5712.0
256,video_0189,0_189_1354b,0,69,16,0,False,False,,,771.0,135.0,673.5,4995.0
257,video_0190,0_190_1371b,1,187,16,16,True,True,125.0,62.0,1041.0,427.0,519.5,74725.0
258,video_0190,0_190_1368b,1,314,16,16,True,True,254.0,60.0,1046.0,415.0,463.0,90470.0
259,video_0190,0_190_1365b,1,314,16,16,True,True,179.0,135.0,1020.0,393.0,1252.5,64845.0
260,video_0191,0_191_1399b,1,104,16,16,True,True,0.0,104.0,760.0,82.0,862.5,2214.0
261,video_0191,0_191_1379b,1,104,16,16,True,True,0.0,104.0,759.0,70.0,876.0,2100.0
262,video_0191,0_191_1395b,1,104,16,16,True,True,0.0,104.0,755.0,74.0,853.5,3330.0
263,video_0191,0_191_1394b,1,70,16,16,True,True,0.0,70.0,816.0,162.0,774.0,9720.0
264,video_0192,0_192_1404b,0,70,16,0,False,False,,,875.0,214.0,518.0,18404.0
265,video_0193,0_193_1415b,1,148,16,16,True,True,0.0,148.0,915.0,433.0,1282.5,68847.0
266,video_0194,0_194_1428b,0,432,16,0,False,False,454.0,-22.0,888.0,167.0,206.5,10855.0
267,video_0194,0_194_1429b,0,424,16,0,False,False,459.0,-35.0,884.0,207.0,176.0,18216.0
