variant,set_id,video_id,ped_id,split,label,anchor_frame,window_first_frame,crossing_point,onset_frame,tte,n_crossing_frames_in_window,all_frames_crossing,anchor_is_crossing,onset_at_or_before_window_end,bbox_bottom_y,bbox_height,bbox_xcenter,bbox_area
naive,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,128,113,200,,72,0,0,0,0,921.84,122.18000000000006,344.78499999999997,5663.042999999999
naive,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,136,121,200,,64,0,0,0,0,930.3,127.88,353.40999999999997,6161.258400000001
naive,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,144,129,200,,56,0,0,0,0,938.4,135.16999999999996,359.105,7243.7602999999945
naive,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,152,137,200,,48,0,0,0,0,944.4,141.47000000000003,361.95,7794.997000000005
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,140,125,200,,60,0,0,0,0,935.82,131.74,356.01,6378.850800000003
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,148,133,200,,52,0,0,0,0,940.8,137.53999999999996,359.53,7190.591200000003
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,156,141,200,,44,0,0,0,0,946.2,142.97000000000003,363.29,7666.051400000002
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,164,149,200,,36,0,0,0,0,953.0,154.40999999999997,349.93,8050.937399999996
strict,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,140,125,200,,60,0,0,0,0,935.82,131.74,356.01,6378.850800000003
strict,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,148,133,200,,52,0,0,0,0,940.8,137.53999999999996,359.53,7190.591200000003
strict,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,156,141,200,,44,0,0,0,0,946.2,142.97000000000003,363.29,7666.051400000002
strict,gp_set_0001,gp_set_0001_vid_0001,gp_11,train,0,164,149,200,,36,0,0,0,0,953.0,154.40999999999997,349.93,8050.937399999996
naive,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,135,120,207,,72,0,0,0,0,928.48,121.32000000000005,395.28,4149.144
naive,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,143,128,207,,64,0,0,0,0,938.38,126.10000000000002,404.525,4724.966999999997
naive,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,151,136,207,,56,0,0,0,0,947.3,134.92999999999995,412.195,5317.591299999994
naive,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,159,144,207,,48,0,0,0,0,949.0,136.63,420.07,5391.419800000005
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,147,132,207,,60,0,0,0,0,940.98,129.26999999999998,408.04499999999996,5050.578899999999
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,155,140,207,,52,0,0,0,0,948.66,136.28999999999996,413.53499999999997,5376.640499999997
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,163,148,207,,44,0,0,0,0,945.98,136.63,405.81,5391.419800000005
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,171,156,207,,36,0,0,0,0,966.14,158.73000000000002,395.7,8530.150200000002
strict,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,147,132,207,,60,0,0,0,0,940.98,129.26999999999998,408.04499999999996,5050.578899999999
strict,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,155,140,207,,52,0,0,0,0,948.66,136.28999999999996,413.53499999999997,5376.640499999997
strict,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,163,148,207,,44,0,0,0,0,945.98,136.63,405.81,5391.419800000005
strict,gp_set_0001,gp_set_0001_vid_0001,gp_12,train,0,171,156,207,,36,0,0,0,0,966.14,158.73000000000002,395.7,8530.150200000002
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_122,train,0,8932,8917,8964,,32,0,0,0,0,919.2,93.45000000000005,393.575,2210.092499999999
strict,gp_set_0001,gp_set_0001_vid_0001,gp_122,train,0,8932,8917,8964,,32,0,0,0,0,919.2,93.45000000000005,393.575,2210.092499999999
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_125,train,0,9105,9090,9137,,32,0,0,0,0,899.5,88.80999999999995,379.745,2958.2610999999984
strict,gp_set_0001,gp_set_0001_vid_0001,gp_125,train,0,9105,9090,9137,,32,0,0,0,0,899.5,88.80999999999995,379.745,2958.2610999999984
naive,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2367,2352,2439,,72,0,0,0,0,902.6,53.60000000000002,702.4,1114.879999999998
naive,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2375,2360,2439,,64,0,0,0,0,898.28,56.41999999999996,680.49,1280.7340000000017
naive,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2383,2368,2439,,56,0,0,0,0,899.72,65.72000000000003,653.405,1595.0243999999996
naive,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2391,2376,2439,,48,0,0,0,0,903.56,75.9899999999999,620.78,2170.274399999993
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2379,2364,2439,,60,0,0,0,0,898.04,59.99000000000001,667.81,1412.1646000000048
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2387,2372,2439,,52,0,0,0,0,901.4,71.44999999999993,639.0,1786.2499999999982
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2395,2380,2439,,44,0,0,0,0,905.72,80.54000000000008,602.5550000000001,2587.750200000002
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2403,2388,2439,,36,0,0,0,0,915.38,89.96000000000004,557.38,3245.7567999999947
strict,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2379,2364,2439,,60,0,0,0,0,898.04,59.99000000000001,667.81,1412.1646000000048
strict,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2387,2372,2439,,52,0,0,0,0,901.4,71.44999999999993,639.0,1786.2499999999982
strict,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2395,2380,2439,,44,0,0,0,0,905.72,80.54000000000008,602.5550000000001,2587.750200000002
strict,gp_set_0001,gp_set_0001_vid_0001,gp_13,train,0,2403,2388,2439,,36,0,0,0,0,915.38,89.96000000000004,557.38,3245.7567999999947
naive,gp_set_0001,gp_set_0001_vid_0001,gp_14,train,0,2914,2899,-10,,-2924,0,0,0,0,892.93,44.57999999999993,666.625,695.8937999999944
naive,gp_set_0001,gp_set_0001_vid_0001,gp_14,train,0,2922,2907,-10,,-2932,0,0,0,0,896.3,55.479999999999905,646.25,1148.4360000000006
naive,gp_set_0001,gp_set_0001_vid_0001,gp_14,train,0,2930,2915,-10,,-2940,0,0,0,0,898.72,58.379999999999995,616.8399999999999,1294.8683999999969
naive,gp_set_0001,gp_set_0001_vid_0001,gp_14,train,0,2938,2923,-10,,-2948,0,0,0,0,901.8,62.49000000000001,582.4000000000001,1712.2259999999987
naive,gp_set_0001,gp_set_0001_vid_0001,gp_178,train,0,13509,13494,13553,,44,0,0,0,0,912.6,74.86000000000001,499.18999999999994,2187.4091999999982
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_178,train,0,13509,13494,13553,,44,0,0,0,0,912.6,74.86000000000001,499.18999999999994,2187.4091999999982
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_178,train,0,13517,13502,13553,,36,0,0,0,0,919.2,87.49000000000001,450.82500000000005,2585.329500000001
strict,gp_set_0001,gp_set_0001_vid_0001,gp_178,train,0,13509,13494,13553,,44,0,0,0,0,912.6,74.86000000000001,499.18999999999994,2187.4091999999982
strict,gp_set_0001,gp_set_0001_vid_0001,gp_178,train,0,13517,13502,13553,,36,0,0,0,0,919.2,87.49000000000001,450.82500000000005,2585.329500000001
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_182,train,0,13681,13666,13722,,41,0,0,0,0,936.72,74.23000000000002,670.24,2114.070400000002
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_182,train,0,13689,13674,13722,,33,0,0,0,0,942.53,81.75999999999999,623.54,2523.113600000001
strict,gp_set_0001,gp_set_0001_vid_0001,gp_182,train,0,13681,13666,13722,,41,0,0,0,0,936.72,74.23000000000002,670.24,2114.070400000002
strict,gp_set_0001,gp_set_0001_vid_0001,gp_182,train,0,13689,13674,13722,,33,0,0,0,0,942.53,81.75999999999999,623.54,2523.113600000001
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_188,train,0,13797,13782,13828,,31,0,0,0,0,929.2,99.72000000000003,482.25,4118.435999999997
strict,gp_set_0001,gp_set_0001_vid_0001,gp_188,train,0,13797,13782,13828,,31,0,0,0,0,929.2,99.72000000000003,482.25,4118.435999999997
naive,gp_set_0001,gp_set_0001_vid_0001,gp_196,train,0,14319,14304,14361,,42,0,0,0,0,903.62,47.639999999999986,719.585,708.4068
naive,gp_set_0001,gp_set_0001_vid_0001,gp_196,train,0,14327,14312,14361,,34,0,0,0,0,907.6,56.58000000000004,699.97,1035.4139999999982
naive,gp_set_0001,gp_set_0001_vid_0001,gp_196,train,0,14335,14320,14361,,26,0,0,0,0,907.61,60.06000000000006,675.1700000000001,1219.2180000000053
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_196,train,0,14319,14304,14361,,42,0,0,0,0,903.62,47.639999999999986,719.585,708.4068
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_196,train,0,14327,14312,14361,,34,0,0,0,0,907.6,56.58000000000004,699.97,1035.4139999999982
strict,gp_set_0001,gp_set_0001_vid_0001,gp_196,train,0,14319,14304,14361,,42,0,0,0,0,903.62,47.639999999999986,719.585,708.4068
strict,gp_set_0001,gp_set_0001_vid_0001,gp_196,train,0,14327,14312,14361,,34,0,0,0,0,907.6,56.58000000000004,699.97,1035.4139999999982
naive,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,371,356,443,,72,0,0,0,0,921.82,65.20000000000005,740.48,1645.6480000000017
naive,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,379,364,443,,64,0,0,0,0,929.76,73.0,723.4000000000001,1871.719999999999
naive,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,387,372,443,,56,0,0,0,0,934.1,78.00999999999999,701.0699999999999,2376.1845999999937
naive,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,395,380,443,,48,0,0,0,0,935.8,85.39999999999998,668.995,2783.1859999999924
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,383,368,443,,60,0,0,0,0,931.78,74.91999999999996,713.435,2011.6020000000005
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,391,376,443,,52,0,0,0,0,935.59,82.59000000000003,687.16,2784.934800000003
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,399,384,443,,44,0,0,0,0,939.5,90.90999999999997,652.4300000000001,3369.124600000004
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,407,392,443,,36,0,0,0,0,937.3,97.49000000000001,607.3599999999999,3913.248599999999
strict,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,383,368,443,,60,0,0,0,0,931.78,74.91999999999996,713.435,2011.6020000000005
strict,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,391,376,443,,52,0,0,0,0,935.59,82.59000000000003,687.16,2784.934800000003
strict,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,399,384,443,,44,0,0,0,0,939.5,90.90999999999997,652.4300000000001,3369.124600000004
strict,gp_set_0001,gp_set_0001_vid_0001,gp_2,train,0,407,392,443,,36,0,0,0,0,937.3,97.49000000000001,607.3599999999999,3913.248599999999
naive,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,145,130,217,,72,0,0,0,0,944.74,131.56000000000006,509.37,4175.7144000000035
naive,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,153,138,217,,64,0,0,0,0,954.1,138.90999999999997,520.8299999999999,4992.425399999991
naive,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,161,146,217,,56,0,0,0,0,961.32,145.63,530.01,5740.7346000000025
naive,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,169,154,217,,48,0,0,0,0,956.62,146.79999999999995,534.9000000000001,5886.680000000001
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,157,142,217,,60,0,0,0,0,959.06,142.88,527.765,5416.580800000003
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,165,150,217,,52,0,0,0,0,958.32,146.81000000000006,532.38,5887.080999999989
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,173,158,217,,44,0,0,0,0,969.03,146.80999999999995,555.98,5887.081000000001
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,181,166,217,,36,0,0,0,0,986.0,188.58000000000004,509.04499999999996,11222.39579999999
strict,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,157,142,217,,60,0,0,0,0,959.06,142.88,527.765,5416.580800000003
strict,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,165,150,217,,52,0,0,0,0,958.32,146.81000000000006,532.38,5887.080999999989
strict,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,173,158,217,,44,0,0,0,0,969.03,146.80999999999995,555.98,5887.081000000001
strict,gp_set_0001,gp_set_0001_vid_0001,gp_3,train,0,181,166,217,,36,0,0,0,0,986.0,188.58000000000004,509.04499999999996,11222.39579999999
naive,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,200,185,272,,72,0,0,0,0,932.77,72.75999999999999,715.715,1470.4796000000024
naive,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,208,193,272,,64,0,0,0,0,947.84,93.34000000000003,698.66,2686.3251999999984
naive,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,216,201,272,,56,0,0,0,0,957.68,102.68999999999994,673.095,3094.0496999999978
naive,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,224,209,272,,48,0,0,0,0,963.2,110.20000000000005,642.35,3713.7400000000066
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,212,197,272,,60,0,0,0,0,953.01,97.72000000000003,686.3499999999999,2771.339200000002
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,220,205,272,,52,0,0,0,0,960.44,106.44000000000005,657.72,3397.5647999999974
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,228,213,272,,44,0,0,0,0,965.8,115.77999999999997,622.015,4247.968200000006
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,236,221,272,,36,0,0,0,0,970.9,129.29999999999995,579.8,5399.567999999997
strict,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,212,197,272,,60,0,0,0,0,953.01,97.72000000000003,686.3499999999999,2771.339200000002
strict,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,220,205,272,,52,0,0,0,0,960.44,106.44000000000005,657.72,3397.5647999999974
strict,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,228,213,272,,44,0,0,0,0,965.8,115.77999999999997,622.015,4247.968200000006
strict,gp_set_0001,gp_set_0001_vid_0001,gp_4,train,0,236,221,272,,36,0,0,0,0,970.9,129.29999999999995,579.8,5399.567999999997
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_46,train,0,6551,6536,6590,,39,0,0,0,0,978.32,166.16000000000008,685.245,7957.402400000021
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_46,train,0,6559,6544,6590,,31,0,0,0,0,996.3,193.79999999999995,630.4200000000001,10480.704000000005
strict,gp_set_0001,gp_set_0001_vid_0001,gp_46,train,0,6551,6536,6590,,39,0,0,0,0,978.32,166.16000000000008,685.245,7957.402400000021
strict,gp_set_0001,gp_set_0001_vid_0001,gp_46,train,0,6559,6544,6590,,31,0,0,0,0,996.3,193.79999999999995,630.4200000000001,10480.704000000005
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_48,train,0,6561,6546,6596,,35,0,0,0,0,988.6,172.60000000000002,711.3199999999999,8957.939999999997
strict,gp_set_0001,gp_set_0001_vid_0001,gp_48,train,0,6561,6546,6596,,35,0,0,0,0,988.6,172.60000000000002,711.3199999999999,8957.939999999997
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_49,train,0,6568,6553,6599,,31,0,0,0,0,993.66,193.42999999999995,691.0999999999999,10522.591999999993
strict,gp_set_0001,gp_set_0001_vid_0001,gp_49,train,0,6568,6553,6599,,31,0,0,0,0,993.66,193.42999999999995,691.0999999999999,10522.591999999993
naive,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,181,166,253,,72,0,0,0,0,945.68,88.9799999999999,660.97,2550.1667999999945
naive,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,189,174,253,,64,0,0,0,0,944.71,88.98000000000002,657.8,2550.1667999999977
naive,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,197,182,253,,56,0,0,0,0,959.48,105.31000000000006,650.7049999999999,3802.7441000000035
naive,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,205,190,253,,48,0,0,0,0,969.1,114.60000000000002,628.0550000000001,4708.914000000004
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,193,178,253,,60,0,0,0,0,957.5,103.0,659.25,3759.5
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,201,186,253,,52,0,0,0,0,964.29,109.94999999999993,639.38,4244.069999999987
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,209,194,253,,44,0,0,0,0,976.38,121.38,610.9449999999999,5169.574200000004
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,217,202,253,,36,0,0,0,0,991.0,136.80999999999995,572.245,6445.1190999999835
strict,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,193,178,253,,60,0,0,0,0,957.5,103.0,659.25,3759.5
strict,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,201,186,253,,52,0,0,0,0,964.29,109.94999999999993,639.38,4244.069999999987
strict,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,209,194,253,,44,0,0,0,0,976.38,121.38,610.9449999999999,5169.574200000004
strict,gp_set_0001,gp_set_0001_vid_0001,gp_5,train,0,217,202,253,,36,0,0,0,0,991.0,136.80999999999995,572.245,6445.1190999999835
naive,gp_set_0001,gp_set_0001_vid_0001,gp_50,train,0,6599,6584,6643,,44,0,0,0,0,971.25,140.08000000000004,765.9200000000001,6157.916799999991
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_50,train,0,6599,6584,6643,,44,0,0,0,0,971.25,140.08000000000004,765.9200000000001,6157.916799999991
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_50,train,0,6607,6592,6643,,36,0,0,0,0,987.42,167.12,716.935,9861.751200000017
strict,gp_set_0001,gp_set_0001_vid_0001,gp_50,train,0,6599,6584,6643,,44,0,0,0,0,971.25,140.08000000000004,765.9200000000001,6157.916799999991
strict,gp_set_0001,gp_set_0001_vid_0001,gp_50,train,0,6607,6592,6643,,36,0,0,0,0,987.42,167.12,716.935,9861.751200000017
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_59,train,0,6816,6801,6846,,30,0,0,0,0,950.48,126.26999999999998,632.865,6486.4899
strict,gp_set_0001,gp_set_0001_vid_0001,gp_59,train,0,6816,6801,6846,,30,0,0,0,0,950.48,126.26999999999998,632.865,6486.4899
naive,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,170,155,231,,61,0,0,0,0,949.96,112.20000000000005,565.065,3203.310000000009
naive,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,178,163,231,,53,0,0,0,0,946.51,112.20000000000005,557.8299999999999,3204.432000000008
naive,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,186,171,231,,45,0,0,0,0,965.12,134.28999999999996,548.275,6248.513699999995
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,171,156,231,,60,0,0,0,0,949.42,112.19999999999993,563.585,3203.310000000006
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,179,164,231,,52,0,0,0,0,959.9,125.59000000000003,559.395,4497.377899999994
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,187,172,231,,44,0,0,0,0,966.13,135.72000000000003,545.45,6338.123999999992
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,195,180,231,,36,0,0,0,0,976.57,149.67000000000007,515.41,7336.823400000001
strict,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,171,156,231,,60,0,0,0,0,949.42,112.19999999999993,563.585,3203.310000000006
strict,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,179,164,231,,52,0,0,0,0,959.9,125.59000000000003,559.395,4497.377899999994
strict,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,187,172,231,,44,0,0,0,0,966.13,135.72000000000003,545.45,6338.123999999992
strict,gp_set_0001,gp_set_0001_vid_0001,gp_6,train,0,195,180,231,,36,0,0,0,0,976.57,149.67000000000007,515.41,7336.823400000001
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_60,train,0,6816,6801,6855,,39,0,0,0,0,943.75,117.58000000000004,735.05,5067.698000000005
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_60,train,0,6824,6809,6855,,31,0,0,0,0,955.83,138.37,693.6949999999999,7000.138300000005
strict,gp_set_0001,gp_set_0001_vid_0001,gp_60,train,0,6816,6801,6855,,39,0,0,0,0,943.75,117.58000000000004,735.05,5067.698000000005
strict,gp_set_0001,gp_set_0001_vid_0001,gp_60,train,0,6824,6809,6855,,31,0,0,0,0,955.83,138.37,693.6949999999999,7000.138300000005
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_65,train,0,6853,6838,6889,,36,0,0,0,0,939.0,103.90999999999997,659.815,2954.161299999994
strict,gp_set_0001,gp_set_0001_vid_0001,gp_65,train,0,6853,6838,6889,,36,0,0,0,0,939.0,103.90999999999997,659.815,2954.161299999994
naive,gp_set_0001,gp_set_0001_vid_0001,gp_7,train,0,170,155,-10,,-180,0,0,0,0,944.89,103.16999999999996,608.495,3125.019299999995
naive,gp_set_0001,gp_set_0001_vid_0001,gp_7,train,0,178,163,-10,,-188,0,0,0,0,946.4,103.15999999999997,616.075,3124.716400000007
naive,gp_set_0001,gp_set_0001_vid_0001,gp_7,train,0,186,171,-10,,-196,0,0,0,0,962.3,119.33999999999992,613.755,3686.412600000009
naive,gp_set_0001,gp_set_0001_vid_0001,gp_7,train,0,194,179,-10,,-204,0,0,0,0,964.5,125.40999999999997,598.065,4638.915899999985
naive,gp_set_0001,gp_set_0001_vid_0001,gp_72,train,0,7001,6986,7043,,42,0,0,0,0,937.3,92.42999999999995,548.27,2612.071799999998
